tag,sentence
RQDef,"Next, we observed whether the effect of pollution on mortality appears to be instantaneous or occurs over time."
RQDef,This report centers around the general subject of forest fires.
Data,The Americans had the biggest number of subscribers to their channels (50.4% of all subscribers being from that continent).
Data,"Next, we plotted each predictor variable against the response variable death to explore the relationship between our predictors and response variables."
MethDef,"We avoid the flaw in the data by comparing two variables that vary by patient, removing the effect of variation by sample."
Data,"The country variable appears to be more specific, but with the given database we will find that the generalization of data by continent renders the data easier to analyze."
MethJust,It didn't make sense to include both the lagged and non-lagged predictors in the same model because they contain similar information.
Res,"As seen from the plot in Figure 4 below, the spline curve is always decreasing, suggesting a negative relationship between log(Lifespan) and log(Metabolic.by.mass), which in turn suggests a negative relationship between Lifespan and Metabolic.by.mass."
RQJust,"As the website is science-themed, it seems reasonable to hypothesize that threads posted under the science forum will have a higher view count."
RQJust,"(5) However, as the square root of both lifespan and metabolic rate per unit body mass do show a moderate, negative linear relationship, the exploratory data analysis suggests that the true underlying relationship may support the initial research that metabolic rate and lifespan are negatively correlated (a lower metabolic rate leads to a longer lifespan)."
Res,"Overall, we discovered that players have a large range of playtime, with majority of the playtime being from 0 to 300 minutes."
MethJust,"Based on the much lower prediction error and standard error of the lagged GAM, I would say that the difference between the two models appears to be significant."
RQDef,Our third question characterizes the distribution of channel category.
Data,"We will be using the Maximum.longevity.yrs variable from the data, which is measured in years."
Struct,Our research question (see in the next section) concerns quite a few more variables related to the variable drugs.
Res,"After performing the ANOVA test, we get a test statistic of F = 33.3328 and a p-value that is approximately 0 (p-value = 0)."
Res,"To address Mr.Preston Jorgensen's concern, for a crab-eating raccoon whose metabolic rate is 50% lower than its typical value, our model suggests that its maximum lifespan will be 20.78 years, which is 43.2% higher than the expected maximum lifespan of a typical crab-eating raccoon."
RQDef,How about their income?
Res,Videos from the United States have more videos with high views.
Struct,(3) Table 1 summarizes our findings for the average 5-fold cross-validation mean-squared error for each of the six different models we tried.
Lim,"We are making this analysis based on the assumption that all variables we use are independent, which is likely not the real situation."
Data,"This data ends in 2001, thus it does not account for the several other heat waves that have occurred since then."
Res,"The obtained p-value is lower than the generally accepted level of .05, thus we reject the null hypothesis."
Int,"However, there is no relationship in the data."
Res,"(2) Using the linear model to predict and we have the new predicted maximum lifespan of 17.59354 years, if its metabolic rate is 50% smaller and other features remain."
Struct,In the next section we will perform a goodness-of-fit test for this better model and continue our analysis.
Data,Each of these observations represent a different animal species.
Int,"This coincides with the rate of living theory which states postulates that the faster an organism's metabolism, the shorter its lifespan."
MethJust,"All standard deviations are within a factor of 2, meaning they are so sufficiently close to use our ANOVA test."
Int,"We are also assuming that the effect on pollution appears to extend over time because, based off the 5-fold cross-validation, the lag variables are a better predictor (3)"
Struct,"Having selected the model, we also want to check whether the assumptions of our model have been violated."
Lim,Creating more succinct categories would produce more digestible data.
Context,Social media has a prominent effect in today’s society.
Int,"Thus, it seems reasonable to say that the conclusions gained from this data might not apply to the population of people seeking romantic connection in general."
MethDef,(1) We began by fitting a linear model with our log-transformed variables to predict 'Maximum.longevity.yrs.log' from 'Metabolic.by.mass.log'.
Context,"As social media continues to dominate our everyday lives, and a global pandemic limits our in-person interactions, dating apps and websites are being utilized at an increasing rate."
Lim,We do not know if Preston Jorgensen has lung or health issues and that was not addressed in the analysis as well.
Struct,"Before conducting a formal test for the hypotheses, we visually compare the distribution of playtime for the four player positions."
Data,"Entertainment is the most popular Category (517 Channels, compromising 40.3% of the total sample size of 1259), and the Sports category was the least popular (23 Channels, compromising 1.83% of the full sample size of 1259)."
MethJust,We can also see that the relationship between the variables are starting to look more linear as a result of the transformations.
MethJust,"Also, our conclusion to conduct a log-log transformation on the data is supported when we explore the effect of these transformations on the distribution of each variable."
Struct,"For Model B, Figure 5 shows the average relationship between each variable and the outcome, with uncertainty."
RQDef,"We are able to predict that with the exception of a few channels that may have continuously “viral” content and record an exceptionally high count, most videos will fall under 20 million views per video."
Data,The variable posts is a quantitative variable which measures the number of posts in a thread.
Res,"Lastly, we predicted that the mean lifespan of an animal with the same characteristics as a crab-eating raccoon but with 50% lower metabolic rate is approximately 20.12 years (3)."
