tag1,tag2,sentence
P,RQJust,Understanding what this data says about ourselves can help us identify ways to improve our own habits and elevate the quality of transaction management.
P,RQDef,"In this report, we will explore customer profiling, with the objective of providing better financial outcomes for customers through personalized rewards."
P,RQJust,"Our objective is to identify opportunities for your bank to go beyond the industry standard uses of financial data, such as credit approval and fraud detection, to focus on the ways that Capital One can leverage their insights to create financial wellness for their customers."
P,RQDef,We will also detail how these better outcomes for users improve the bottom line of the business.
P,RQDef,"Finally, we will provide a recommendation for testing two experimental features that make use of these insights, and discuss how these tests might be implemented."
S,,"From spending patterns and transaction data, we identified factors that correlate with financial stability and trends."
S,,"These factors can help us identify and predict profit, interest, and transaction fees for banking services."
P,RQJust,Determining how to convert this data into both usable and valuable categories for data models is essential to profiling customers and predicting trends.
S,MethDef,Figures 1.1 and 1.2 represent two different ways to explore client demographic data.
S,MethJust,This will allow us to identify features of account holder personas and begin organizing users into clusters.
S,MethDef,"In figure 1.1, we graph the distribution of monthly loan spending by number of clients."
S,MethDef,"In figure 1.2, we chart the distribution of account holder ages."
S,MethJust,Loan payments and age are two variables that form a strong baseline to create features that determine how to profile Capital One account holders.
S,Int,Figure 1.1 provides a lot of insight on a customer's loan payments. 
S,Int,This chart's rightward skew reveals a significant variation in client payments.
P,RQDef,We are interested in how this correlates with loan payment history and reveals whether clients repay their loans on-time or behind schedule.
P,RQJust,"This insight can help your bank provide customers with a more personalized experience that can help keep them financially stable, in turn increasing customer satisfaction."
S,Int,Figure 1.2 also sets a strong foundation to explore how age impacts an account holder's financial stability and needs.
S,Int,This chart demonstrates how our dataset includes a pretty balanced variety of ages.
R,Int,The distribution's smaller count of clients below 20 highlights how young individuals are typically less concerned and involved with their finances.
R,Int,"On the other side, the drop in count of clients between ages 60 and 90 highlights how older users shift their spending habits as they are more likely to have retired."
P,RQJust,"Overall, knowing the age of an account holder may help Capital One identify their clients' unique economic priorities."
M,MethDef,"In our next step, we wanted to use user past credit data to model the risk of future loan defaults."
M,MethJust,"Because defaulting is a binary dependent variable, we opted for logistic regression to model missed loan repayments."
S,MethDef,"To identify the variables that are most closely correlated with loan defaults, we constructed a heat map."
M,MethJust,Heat maps are an effective tool to find positive and negative correlations among variables.
M,MethDef,"With regard to bad_loan, a binary variable indicating whether or not not a user defaulted (1 if yes, 0 if no), we identified short_emp (binary variable, 1 when employed for 1 year or less), dti (debt-to-income ratio), last_deliq_none (binary variable, 1 when a user had at least one circumstance of delinquency), revol_util (the amount of credit a borrower is using compared to all other available credit), and total_rec_late_fee (late fees received to date) to have the greatest effect."
M,MethDef,"Based on the features identified in Figure 2.1, a logistic model was trained to predict which loans would be defaulted on based on each user's financial data."
M,MethDef,"A test set was held in reserve, and was compared against the predictions of the model."
S,,"The logistic model tends to overestimate the number of properly repaid loans, which suggests that other variables need to be incorporated for a better model."
P,,"With respect to Capital One, customers will benefit by being able to better understand their spending habits, which will, in turn, improve satisfaction and help the businesses."
S,,These visualizations plot a series of positive and negative account balances of varying balances and debt respectively.
S,,This allows us to identify which account id's correspond to high value accounts or concerning accounts in debt.
I,,An account with a higher balance suggests that the account owner can be more affluent and would benefit from rewards programs more than other clients.
P,,"Therefore, this data can help us identify which clients to target when creating and marketing rewards programs."
